cts,file
urn:cts:croala:croala505684.croala505684.croala-lat1:,aa-vv-carm-occ-vd
urn:cts:croala:croala894047.croala894047.croala-lat1:,aa-vv-carmina-vgc
urn:cts:croala:croala1111677.croala1111677.croala-lat1:,aa-vv-epigr-mulla
urn:cts:croala:croala1745293.croala1745293.croala-lat1:,aa-vv-epigr-natal
urn:cts:croala:croala1482977.croala1482977.croala-lat1:,aa-vv-epigr-tres
urn:cts:croala:croala1917426.croala1917426.croala-lat1:,aa-vv-epitaph-maruli
urn:cts:croala:zavor01.croala1834384.croala-lat1:,aa-vv-praef-epist-rebus-dalm
urn:cts:croala:varii_1590.croala384469.croala-lat1:,aa-vv-sisak-epist
urn:cts:croala:varii_1105.croala1422330.croala-lat1:,aa-vv-supetarski
urn:cts:croala:adamus1070.croala839052.croala-lat1:,adam-radauanus-traditio
urn:cts:croala:adamp01.croala1105795.croala-lat1:,adamus-hymni-domnii
urn:cts:croala:albertijan03.croala745876.croala-lat1:,albert-i-inscr
urn:cts:croala:alb02.croala1409684.croala-lat1:,albert-n-adlect
urn:cts:croala:alb02.croala886270.croala-lat1:,albert-n-epitaph-luc
urn:cts:croala:anastasius1070.croala2107141.croala-lat1:,anastasius-confirmatio-radovani
urn:cts:croala:and02.croala904367.croala-lat1:,andreis-f-1529-02-15
urn:cts:croala:and02.croala1799640.croala-lat1:,andreis-f-carm-h46
urn:cts:croala:and02.croala1324108.croala-lat1:,andreis-f-carmina-vd
urn:cts:croala:and02.croala1834932.croala-lat1:,andreis-f-const
urn:cts:croala:and02.croala507426.croala-lat1:,andreis-f-eloq
urn:cts:croala:and02.croala1322219.croala-lat1:,andreis-f-epigr
urn:cts:croala:and02.croala586591.croala-lat1:,andreis-f-epist
urn:cts:croala:and02.croala699267.croala-lat1:,andreis-f-epist-1538-07-11
urn:cts:croala:and02.croala1045627.croala-lat1:,andreis-f-epist-1538-10-03
urn:cts:croala:and02.croala844834.croala-lat1:,andreis-f-epist-1550-02-25
urn:cts:croala:and02.croala939495.croala-lat1:,andreis-f-epist-1569-10-19
urn:cts:croala:and02.croala107163.croala-lat1:,andreis-f-epist-1570-02-02
urn:cts:croala:and02.croala1842248.croala-lat1:,andreis-f-epist-1571-06-30
urn:cts:croala:and02.croala753399.croala-lat1:,andreis-f-epist-bonzagno-1529
urn:cts:croala:and02.croala1798264.croala-lat1:,andreis-f-epist-lasc
urn:cts:croala:and02.croala823586.croala-lat1:,andreis-f-epist-nadasd
urn:cts:croala:and02.croala702300.croala-lat1:,andreis-f-lectori-phil
urn:cts:croala:and02.croala789367.croala-lat1:,andreis-f-ode
urn:cts:croala:and02.croala417830.croala-lat1:,andreis-f-philos
urn:cts:croala:and02.croala839889.croala-lat1:,andreis-f-polonos
urn:cts:croala:and02.croala1487544.croala-lat1:,andreis-f-sylla
urn:cts:croala:and02.croala419059.croala-lat1:,andreis-f-thurc-germ
urn:cts:croala:and02.croala21148.croala-lat1:,andreis-f-thurc-her
urn:cts:croala:and03.croala1587272.croala-lat1:,andreis-m-epith
urn:cts:croala:and04.croala339999.croala-lat1:,andronic-trag-elegia
urn:cts:croala:anffredus1034.croala1326438.croala-lat1:,anffredus-savinae-donatio
urn:cts:croala:anonymus_1800.croala974295.croala-lat1:,anonymus-hymnus-1800
urn:cts:croala:anonymus_1346.croala1397391.croala-lat1:,anonymus-obsidio-iadrensis
urn:cts:croala:august01.croala1110472.croala-lat1:,august-g-epist
urn:cts:croala:babulakd1e55.croala1401416.croala-lat1:,babulak-o-elegos-matzek
urn:cts:croala:babulakd1e55.croala834.croala-lat1:,babulak-o-ode-matzek
urn:cts:croala:babulakd1e55.croala380740.croala-lat1:,babulak-o-proseucticon
urn:cts:croala:banic01.croala290977.croala-lat1:,banic-j-epist
urn:cts:croala:banic01.croala976014.croala-lat1:,banic-j-epist-1511-04-29
urn:cts:croala:banic01.croala1576950.croala-lat1:,banic-j-epist-1513
urn:cts:croala:banic01.croala1769800.croala-lat1:,banic-j-epist-1515-01-17
urn:cts:croala:banic01.croala1508309.croala-lat1:,banic-j-epist-1524-03-02
urn:cts:croala:banic01.croala463007.croala-lat1:,banic-j-epist-dantisc-1516-01-06
urn:cts:croala:banic01.croala497725.croala-lat1:,banic-j-epist-dantisc-1516-01-10
urn:cts:croala:banic01.croala2074410.croala-lat1:,banic-j-epist-hel
urn:cts:croala:baric02.croala340663.croala-lat1:,baric-a-stat
urn:cts:croala:baric01.croala1492936.croala-lat1:,baricev-aa-eclog
urn:cts:croala:baric01.croala1506566.croala-lat1:,baricev-aa-epist
urn:cts:croala:baric01.croala352703.croala-lat1:,baricev-aa-epist-penzel
urn:cts:croala:bart01.croala3870928.croala-lat1:,bartucevic-j-epistola-ad-m-peregrinum_croala3870928
urn:cts:croala:bart01.croala7302927.croala-lat1:,bartucevic-j001-epistulaimpcarolum1535
urn:cts:croala:kozic01.croala290205.croala-lat1:,begnius-s-corvatiae
urn:cts:croala:kozic01.croala691509.croala-lat1:,begnius-s-elogium
urn:cts:croala:kozic01.croala1798792.croala-lat1:,begnius-s-lectoribus
urn:cts:croala:croala53896.croala53896.croala-lat1:,belostenec-i-gazophylacium-ded
urn:cts:croala:benes01.croala512580.croala-lat1:,benesa-d-dmc
urn:cts:croala:benes01.croala972483.croala-lat1:,benesa-d-epiced-bun
urn:cts:croala:benes01.croala512181.croala-lat1:,benesa-d-epigr-cerv
urn:cts:croala:benes01.croala410528.croala-lat1:,benesa-d-epistolae-dedic
urn:cts:croala:benes01.croala1480997.croala-lat1:,benesa-d-epistulae
urn:cts:croala:benes01.croala6197596.croala-lat1:,benesa-d_eclog_croala6197596.croala-lat1
urn:cts:croala:benes01.croala7115623.croala-lat1:,benesa-d_epigr01_croala7115623.croala-lat1
urn:cts:croala:benes01.croala8750797.croala-lat1:,benesa-d_epigr02_croala8750797.croala-lat1
urn:cts:croala:benes01.croala5095251.croala-lat1:,benesa-d_epigr03_croala5095251.croala-lat1
urn:cts:croala:benes01.croala8775069.croala-lat1:,benesa-d_misc_croala8775069.croala-lat1
urn:cts:croala:benes01.croala8221897.croala-lat1:,benesa-d_od1_croala8221897.croala-lat1
urn:cts:croala:benes01.croala6739337.croala-lat1:,benesa-d_od2_croala6739337.croala-lat1
urn:cts:croala:benes01.croala8033200.croala-lat1:,benesa-d_sat_croala8033200.croala-lat1
urn:cts:croala:benesa03.croala1103986.croala-lat1:,benesa-p-epist-1570
urn:cts:croala:berisl01.croala23846.croala-lat1:,berislavic-p-epist-1518-04-10
urn:cts:croala:berisl01.croala876391.croala-lat1:,berislavic-p-epist-1519-09-05
